;country;time;value
403;AUS;1973-01-01;98.87233
158;AUS;1973-02-01;98.92384
106;AUS;1973-03-01;99.048
63;AUS;1973-04-01;99.33862
339;AUS;1973-05-01;99.88607
46;AUS;1973-06-01;100.4867
75;AUS;1973-07-01;100.8919
54;AUS;1973-08-01;100.9047
31;AUS;1973-09-01;100.6716
151;AUS;1973-10-01;100.3706
301;AUS;1973-11-01;100.1463
0;AUS;1973-12-01;100.0121
72;AUS;1974-01-01;99.97498
484;AUS;1974-02-01;100.0702
38;AUS;1974-03-01;100.2989
398;AUS;1974-04-01;100.6322
152;AUS;1974-05-01;100.8823
422;AUS;1974-06-01;100.8669
425;AUS;1974-07-01;100.7567
157;AUS;1974-08-01;100.6927
333;AUS;1974-09-01;100.5972
271;AUS;1974-10-01;100.537
171;AUS;1974-11-01;100.5198
294;AUS;1974-12-01;100.5547
501;AUS;1975-01-01;100.5696
298;AUS;1975-02-01;100.4759
202;AUS;1975-03-01;100.2531
10;AUS;1975-04-01;100.1423
381;AUS;1975-05-01;100.0723
264;AUS;1975-06-01;99.96953
240;AUS;1975-07-01;99.92751
266;AUS;1975-08-01;100.0111
513;AUS;1975-09-01;100.0992
216;AUS;1975-10-01;100.0999
83;AUS;1975-11-01;100.062
424;AUS;1975-12-01;100.1735
394;AUS;1976-01-01;100.3021
115;AUS;1976-02-01;100.4811
489;AUS;1976-03-01;100.7808
175;AUS;1976-04-01;101.1297
468;AUS;1976-05-01;101.4125
503;AUS;1976-06-01;101.5204
56;AUS;1976-07-01;101.3661
98;AUS;1976-08-01;101.0755
480;AUS;1976-09-01;100.743
416;AUS;1976-10-01;100.3239
113;AUS;1976-11-01;99.86776
197;AUS;1976-12-01;99.53868
91;AUS;1977-01-01;99.67344
102;AUS;1977-02-01;100.0151
304;AUS;1977-03-01;100.2753
241;AUS;1977-04-01;100.4897
49;AUS;1977-05-01;100.6582
203;AUS;1977-06-01;100.7296
261;AUS;1977-07-01;100.6323
263;AUS;1977-08-01;100.4024
359;AUS;1977-09-01;99.88206
426;AUS;1977-10-01;99.34805
405;AUS;1977-11-01;99.13591
290;AUS;1977-12-01;99.27767
428;AUS;1978-01-01;99.51485
93;AUS;1978-02-01;99.65459
278;AUS;1978-03-01;99.73083
288;AUS;1978-04-01;99.7649
534;AUS;1978-05-01;99.78895
507;AUS;1978-06-01;99.81183
443;AUS;1978-07-01;99.79507
41;AUS;1978-08-01;99.72955
282;AUS;1978-09-01;99.75188
311;AUS;1978-10-01;99.81153
132;AUS;1978-11-01;99.84774
272;AUS;1978-12-01;100.0286
172;AUS;1979-01-01;100.3163
95;AUS;1979-02-01;100.5856
327;AUS;1979-03-01;100.7336
78;AUS;1979-04-01;100.9092
8;AUS;1979-05-01;101.0655
296;AUS;1979-06-01;101.0837
257;AUS;1979-07-01;100.9151
